epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.418,1.66889,3.26786,1.23688,0.63295,0.22456,0.36547,0.22512,1.32509,2.76065,1.04249,0.000193747,0.000193747,0.000193747
2,912.415,1.37479,1.7328,1.0918,0.5439,0.60183,0.60632,0.3991,1.20752,1.30905,1.00176,0.000385889,0.000385889,0.000385889
3,1436.88,1.29572,1.40533,1.06245,0.69639,0.76573,0.75148,0.52636,1.10149,1.03366,0.99449,0.000574149,0.000574149,0.000574149
4,1985.11,1.241,1.14162,1.04604,0.91209,0.82987,0.87857,0.60487,1.11959,0.83081,0.99646,0.000570536,0.000570536,0.000570536
5,2461.23,1.18152,1.0122,1.02373,0.93646,0.85994,0.89296,0.61964,1.14632,0.77738,1.00341,0.000564715,0.000564715,0.000564715
6,2911.41,1.18068,0.92827,1.0263,0.85125,0.86141,0.88117,0.62628,1.05809,0.78311,0.98603,0.000558894,0.000558894,0.000558894
7,3358.52,1.18697,0.91604,1.01847,0.93336,0.87141,0.89718,0.64365,1.04858,0.74137,0.98495,0.000553073,0.000553073,0.000553073
8,4012.35,1.16589,0.84574,1.02074,0.95745,0.88149,0.90212,0.64125,1.11713,0.71249,1.0009,0.000547252,0.000547252,0.000547252
9,4496.51,1.1043,0.80204,1.00785,0.93683,0.87723,0.89968,0.64584,1.05369,0.69248,0.97938,0.00054143,0.00054143,0.00054143
10,4962.87,1.07706,0.85981,0.98104,0.95797,0.89558,0.90696,0.66914,1.00421,0.63986,0.97091,0.000535609,0.000535609,0.000535609
11,5509.65,1.08959,0.77522,0.99931,0.96016,0.88437,0.90103,0.62029,1.15484,0.69616,1.00615,0.000529788,0.000529788,0.000529788
12,6062.91,1.0994,0.74363,1.00481,0.97204,0.89294,0.90602,0.66648,1.01821,0.61756,0.97697,0.000523967,0.000523967,0.000523967
13,6603.14,1.09404,0.72316,0.99764,0.97389,0.90843,0.90935,0.66167,1.03302,0.59946,0.97638,0.000518146,0.000518146,0.000518146
14,7196,1.06142,0.69668,0.99553,0.98023,0.90435,0.91146,0.67501,1.00116,0.56944,0.97239,0.000512324,0.000512324,0.000512324
15,7721.05,1.06885,0.68967,0.9896,0.97665,0.90539,0.90878,0.65557,1.03936,0.57799,0.98397,0.000506503,0.000506503,0.000506503
16,8249.96,1.03959,0.66267,0.98673,0.97982,0.90661,0.91147,0.67661,1.02238,0.53541,0.97651,0.000500682,0.000500682,0.000500682
17,8781.35,1.04219,0.6647,0.98351,0.98051,0.90931,0.91627,0.68678,0.9601,0.57429,0.96359,0.000494861,0.000494861,0.000494861
18,9228.28,1.04938,0.68609,0.98863,0.97156,0.90876,0.91303,0.69016,0.95403,0.54241,0.96869,0.00048904,0.00048904,0.00048904
19,9680.6,1.05124,0.65366,0.99272,0.97905,0.90951,0.91205,0.68366,0.97244,0.53967,0.96811,0.000483218,0.000483218,0.000483218
20,10157,1.03057,0.66129,0.98868,0.97641,0.90708,0.91413,0.6758,0.9986,0.52644,0.96566,0.000477397,0.000477397,0.000477397
21,10626.1,1.02388,0.62951,0.98972,0.96988,0.90718,0.91804,0.69838,0.94849,0.52084,0.95683,0.000471576,0.000471576,0.000471576
22,11095.8,1.04599,0.62904,0.98274,0.97356,0.91118,0.92806,0.67549,1.04419,0.5423,0.98314,0.000465755,0.000465755,0.000465755
23,11523.2,1.01941,0.61837,0.97696,0.97616,0.90958,0.91992,0.70054,0.94715,0.49333,0.95803,0.000459934,0.000459934,0.000459934
24,11950.2,1.0058,0.59631,0.97968,0.97906,0.90901,0.92069,0.698,0.96324,0.50687,0.95764,0.000454112,0.000454112,0.000454112
25,12378.2,1.01001,0.59724,0.9774,0.98172,0.90937,0.93415,0.71316,0.95125,0.50102,0.96269,0.000448291,0.000448291,0.000448291
26,12806,1.00015,0.59595,0.97947,0.97796,0.91051,0.91436,0.69089,0.96463,0.5011,0.96837,0.00044247,0.00044247,0.00044247
27,13232.3,1.01181,0.59256,0.97606,0.97586,0.90196,0.91429,0.69546,0.92964,0.49002,0.95021,0.000436649,0.000436649,0.000436649
28,13666.6,0.982,0.58038,0.96404,0.9818,0.90802,0.91534,0.69764,0.98056,0.48156,0.97035,0.000430828,0.000430828,0.000430828
29,14096.4,0.99671,0.57819,0.98251,0.98135,0.91263,0.91463,0.69573,0.97498,0.47156,0.97191,0.000425006,0.000425006,0.000425006
